date,bis_credit_all,bis_credit_banks
1947-10-01,47.1,20.7
1948-01-01,47.6,20.8
1948-04-01,47.9,20.8
1948-07-01,48,20.8
1948-10-01,48.6,20.9
1949-01-01,49.2,21
1949-04-01,50.2,21.3
1949-07-01,51.5,21.6
1949-10-01,52.9,22
1950-01-01,54.7,23.1
1950-04-01,55.8,23.8
1950-07-01,56.1,24.2
1950-10-01,55.7,24.3
1951-01-01,54.8,24
1951-04-01,54.1,23.8
1951-07-01,53.9,23.8
1951-10-01,54,23.9
1952-01-01,53.6,23.7
1952-04-01,54.8,24.1
1952-07-01,55.6,24.6
1952-10-01,56.7,25
1953-01-01,56.6,25.1
1953-04-01,57.1,25.2
1953-07-01,57.3,25.4
1953-10-01,58,25.5
1954-01-01,58.4,25.8
1954-04-01,59.9,26.4
1954-07-01,61.3,27
1954-10-01,62.5,27.5
1955-01-01,62.6,27.8
1955-04-01,63.8,28.7
1955-07-01,64.2,29.2
1955-10-01,65.2,29.7
1956-01-01,65.3,30
1956-04-01,66.5,30.8
1956-07-01,67.1,31.1
1956-10-01,67.9,31.5
1957-01-01,67.7,31.4
1957-04-01,68.7,31.9
1957-07-01,68.8,31.9
1957-10-01,69.5,32.1
1958-01-01,69.9,32
1958-04-01,71.1,32.7
1958-07-01,72,33.2
1958-10-01,73.3,33.8
1959-01-01,72.6,33.5
1959-04-01,73.2,34.2
1959-07-01,73.5,34.7
1959-10-01,74.6,35.2
1960-01-01,74.2,35.1
1960-04-01,75.7,35.8
1960-07-01,76.1,36.1
1960-10-01,77.5,36.8
1961-01-01,77.9,37.2
1961-04-01,79.2,37.7
1961-07-01,79.7,38
1961-10-01,80.5,38.4
1962-01-01,79.5,38
1962-04-01,80.1,38.6
1962-07-01,80.3,39
1962-10-01,81.6,39.8
1963-01-01,81.6,40
1963-04-01,83.1,41.1
1963-07-01,83.6,41.5
1963-10-01,84.8,42.3
1964-01-01,84.3,42.3
1964-04-01,85.2,43.1
1964-07-01,85.3,43.4
1964-10-01,86.4,44.1
1965-01-01,86.3,44.3
1965-04-01,87.3,45.1
1965-07-01,87.3,45.3
1965-10-01,87.5,45.6
1966-01-01,86.8,45.2
1966-04-01,87.5,45.7
1966-07-01,86.8,45.3
1966-10-01,86.9,45.1
1967-01-01,86.5,44.6
1967-04-01,87.5,45.3
1967-07-01,87.7,45.3
1967-10-01,89.9,46.8
1968-01-01,88.3,45.6
1968-04-01,88.9,46
1968-07-01,88.5,45.8
1968-10-01,89.3,46.4
1969-01-01,88.3,46
1969-04-01,89.4,46.7
1969-07-01,89.2,46.4
1969-10-01,90,46.7
1970-01-01,89.2,45.7
1970-04-01,90.2,46.1
1970-07-01,90.6,46.3
1970-10-01,91.4,46.8
1971-01-01,90.9,46.3
1971-04-01,91.8,47.1
1971-07-01,92.1,47.7
1971-10-01,92.5,48.1
1972-01-01,92.5,48.2
1972-04-01,93.7,49.5
1972-07-01,93.9,49.9
1972-10-01,94.6,50.8
1973-01-01,94.8,51.6
1973-04-01,95.8,52.7
1973-07-01,96.2,53.3
1973-10-01,96.3,53.3
1974-01-01,96.3,53.2
1974-04-01,97.9,54.5
1974-07-01,98.4,54.7
1974-10-01,98.6,54.5
1975-01-01,97.2,53.1
1975-04-01,96.9,53
1975-07-01,96.2,52.5
1975-10-01,95.9,52.3
1976-01-01,94.2,51.2
1976-04-01,94.2,51.4
1976-07-01,94.1,51.4
1976-10-01,94.7,51.8
1977-01-01,94.8,51.9
1977-04-01,95.9,52.8
1977-07-01,96.2,53.2
1977-10-01,97.1,53.6
1978-01-01,97.1,53.7
1978-04-01,98.1,54.4
1978-07-01,98.4,54.6
1978-10-01,98.5,54.5
1979-01-01,97.8,53.9
1979-04-01,99.2,54.3
1979-07-01,100,54.8
1979-10-01,100.6,54.9
1980-01-01,100.8,54.4
1980-04-01,100.3,53.2
1980-07-01,100.8,53.2
1980-10-01,101.4,53.7
1981-01-01,100,52.5
1981-04-01,100.2,52.1
1981-07-01,99.5,51.7
1981-10-01,99.4,51.3
1982-01-01,99.7,51
1982-04-01,100.6,51.2
1982-07-01,101.2,51
