h,impulse,response,mean,median,lower,upper,model,version,irf
1,Main,TFP,0.230306609395267,0.231105396977189,0.161348207440113,0.300777664751927,classical_fd,Current,0.261814916442762
1,Main,consumption,-0.537315395930456,-0.539977465804915,-0.805931346235522,-0.275877514904302,classical_fd,Current,-0.601480217319645
1,Main,hours_worked,-0.705422413596254,-0.708683475915205,-0.893068210885376,-0.52104896899125,classical_fd,Current,-0.789536279722729
1,Main,inflation,-0.0533877035501029,-0.0561546135041538,-0.0806346897086126,-0.0224039322882523,classical_fd,Current,-0.0613390906018274
1,Main,interest,-0.0643960157288312,-0.0617923309356633,-0.0913964657966219,-0.0408459837334191,classical_fd,Current,-0.0715755044797324
1,Main,investment,-1.63638156790659,-1.67646574270022,-2.07350828405994,-1.2159838157911,classical_fd,Current,-1.77917772897248
1,Main,labor_share,0.225755277893409,0.223118902510533,0.143678771510755,0.316087642407773,classical_fd,Current,0.246418212781944
1,Main,output,-0.6579481874476,-0.64781501403038,-0.793432436780651,-0.536919082109779,classical_fd,Current,-0.72647281950973
1,Main,productivity,-0.0120371404065831,-0.0212417239663785,-0.190008372595367,0.165633660325843,classical_fd,Current,0.00337343751709857
1,Main,unemployment,0.416997010783762,0.418011242292892,0.221079347486269,0.625329935742505,classical_fd,Current,0.467843715428397
2,Main,TFP,0.246713936813473,0.249011666143277,0.152973208095388,0.335448477828582,classical_fd,Current,0.275058548470571
2,Main,consumption,-0.421697499094649,-0.416764653873132,-0.5181298379441,-0.325448526403299,classical_fd,Current,-0.454915027187762
2,Main,hours_worked,-0.718545131930839,-0.720938666387499,-0.810725789026347,-0.627813776372115,classical_fd,Current,-0.777993368037981
2,Main,inflation,-0.0273452787475781,-0.0277145974579273,-0.0504145666891071,-0.00405957605836559,classical_fd,Current,-0.0284708107534698
2,Main,interest,-0.105686723431028,-0.101514330780825,-0.140561505983295,-0.0745553060537493,classical_fd,Current,-0.114230436791619
2,Main,investment,-1.79122372342324,-1.90411501913974,-2.6558597156738,-0.868072455020671,classical_fd,Current,-1.88819677667736
2,Main,labor_share,0.0668314680414571,0.065841104183542,-0.0195563016303582,0.155961244096241,classical_fd,Current,0.0632263816291601
2,Main,output,-0.622204862968558,-0.640297327427829,-0.773850411353731,-0.462023055041867,classical_fd,Current,-0.663054566713845
2,Main,productivity,0.0900961966778877,0.0884256296556158,-0.108595229484337,0.286546918404781,classical_fd,Current,0.11734890074554
2,Main,unemployment,0.457232712580117,0.450735310987026,0.372399514708515,0.54320583583478,classical_fd,Current,0.499155373215621
3,Main,TFP,0.247438198681329,0.250813757737391,0.152031205812419,0.339970470268508,classical_fd,Current,0.275823092458721
3,Main,consumption,-0.288909220751523,-0.289477294828442,-0.371147631706762,-0.206158053696737,classical_fd,Current,-0.312349993342132
3,Main,hours_worked,-0.578734978188296,-0.597229253303797,-0.709120617547388,-0.439849954954217,classical_fd,Current,-0.621529076402494
3,Main,inflation,-0.0318006309214412,-0.0320080966721357,-0.0549072570884217,-0.00933085393816932,classical_fd,Current,-0.0330719076519325
3,Main,interest,-0.110317985285934,-0.108248782606387,-0.144915323242589,-0.0745063977127518,classical_fd,Current,-0.117719813744812
3,Main,investment,-1.35719435104181,-1.43600705021836,-2.45157646235864,-0.235554573905254,classical_fd,Current,-1.40727101771835
3,Main,labor_share,0.0205607280304278,0.0209635792998469,-0.0460309383991399,0.0842268343076577,classical_fd,Current,0.0189174805285772
3,Main,output,-0.473123945365033,-0.49376795310571,-0.686025008442808,-0.251738154887933,classical_fd,Current,-0.501980670909794
3,Main,productivity,0.166341819690831,0.175812491377712,0.00871824993686652,0.312404680193659,classical_fd,Current,0.194771483250012
3,Main,unemployment,0.370591137785313,0.373297842477132,0.309991997134464,0.433861870087339,classical_fd,Current,0.402383407932289
