h,impulse,response,irf,model,version
1,Main,output,-0.475326182787218,classical_fd,Replication
1,Main,investment,-1.56734409817003,classical_fd,Replication
1,Main,consumption,-0.223058502701786,classical_fd,Replication
1,Main,hours_worked,-0.356899510874181,classical_fd,Replication
1,Main,unemployment,0.198053515971369,classical_fd,Replication
1,Main,labor_share,0.161149282915626,classical_fd,Replication
1,Main,interest,-0.0576635701195313,classical_fd,Replication
1,Main,inflation,-0.00386821975081066,classical_fd,Replication
1,Main,productivity,-0.21718658124683,classical_fd,Replication
1,Main,TFP,0.114698919287056,classical_fd,Replication
2,Main,output,-0.651624528130522,classical_fd,Replication
2,Main,investment,-2.31144032763843,classical_fd,Replication
2,Main,consumption,-0.307157489304775,classical_fd,Replication
2,Main,hours_worked,-0.529992723754347,classical_fd,Replication
2,Main,unemployment,0.329397872704641,classical_fd,Replication
2,Main,labor_share,0.124552199896765,classical_fd,Replication
2,Main,interest,-0.107319547339187,classical_fd,Replication
2,Main,inflation,-0.0174526304144456,classical_fd,Replication
2,Main,productivity,-0.152267542058196,classical_fd,Replication
2,Main,TFP,0.207153420081182,classical_fd,Replication
3,Main,output,-0.66641714652832,classical_fd,Replication
3,Main,investment,-2.33285466689747,classical_fd,Replication
3,Main,consumption,-0.330110782368681,classical_fd,Replication
3,Main,hours_worked,-0.579037911181417,classical_fd,Replication
3,Main,unemployment,0.382716051128114,classical_fd,Replication
3,Main,labor_share,0.0492600403329848,classical_fd,Replication
3,Main,interest,-0.124256024623062,classical_fd,Replication
3,Main,inflation,-0.0307539358622373,classical_fd,Replication
3,Main,productivity,-0.0274958980990136,classical_fd,Replication
3,Main,TFP,0.234329037352697,classical_fd,Replication
4,Main,output,-0.586664144207139,classical_fd,Replication
4,Main,investment,-1.94838972841338,classical_fd,Replication
4,Main,consumption,-0.319952847074676,classical_fd,Replication
4,Main,hours_worked,-0.531262939800976,classical_fd,Replication
4,Main,unemployment,0.376744957429315,classical_fd,Replication
4,Main,labor_share,-0.0401124477671487,classical_fd,Replication
4,Main,interest,-0.122084919995425,classical_fd,Replication
4,Main,inflation,-0.033742794127483,classical_fd,Replication
4,Main,productivity,0.0830315066014152,classical_fd,Replication
4,Main,TFP,0.21246989232535,classical_fd,Replication
5,Main,output,-0.463599640708234,classical_fd,Replication
5,Main,investment,-1.39428057255712,classical_fd,Replication
5,Main,consumption,-0.288268057626726,classical_fd,Replication
5,Main,hours_worked,-0.430634832137308,classical_fd,Replication
5,Main,unemployment,0.33368343996258,classical_fd,Replication
5,Main,labor_share,-0.118920675209325,classical_fd,Replication
5,Main,interest,-0.109586236562368,classical_fd,Replication
5,Main,inflation,-0.0325839413991608,classical_fd,Replication
5,Main,productivity,0.16193464788574,classical_fd,Replication
5,Main,TFP,0.162261663860467,classical_fd,Replication
6,Main,output,-0.330387310878068,classical_fd,Replication
6,Main,investment,-0.817867018526288,classical_fd,Replication
6,Main,consumption,-0.245279370967257,classical_fd,Replication
6,Main,hours_worked,-0.309753398375066,classical_fd,Replication
6,Main,unemployment,0.27180350612165,classical_fd,Replication
6,Main,labor_share,-0.176020737972306,classical_fd,Replication
6,Main,interest,-0.091403641836762,classical_fd,Replication
6,Main,inflation,-0.0268716811345745,classical_fd,Replication
6,Main,productivity,0.206316671378553,classical_fd,Replication
6,Main,TFP,0.105451260315219,classical_fd,Replication
7,Main,output,-0.208040591309603,classical_fd,Replication
7,Main,investment,-0.305568203796242,classical_fd,Replication
7,Main,consumption,-0.199218418109173,classical_fd,Replication
7,Main,hours_worked,-0.190915708660104,classical_fd,Replication
7,Main,unemployment,0.20488782818523,classical_fd,Replication
7,Main,labor_share,-0.208266918739455,classical_fd,Replication
7,Main,interest,-0.071253880595652,classical_fd,Replication
7,Main,inflation,-0.0188843758914248,classical_fd,Replication
7,Main,productivity,0.219412145000358,classical_fd,Replication
7,Main,TFP,0.0530716751373847,classical_fd,Replication
8,Main,output,-0.107636445963419,classical_fd,Replication
8,Main,investment,0.0998518356973204,classical_fd,Replication
8,Main,consumption,-0.15588428566462,classical_fd,Replication
8,Main,hours_worked,-0.0869732424168245,classical_fd,Replication
8,Main,unemployment,0.14189297159074,classical_fd,Replication
8,Main,labor_share,-0.218150794736602,classical_fd,Replication
8,Main,interest,-0.0515430999602337,classical_fd,Replication
8,Main,inflation,-0.00992744674579258,classical_fd,Replication
8,Main,productivity,0.208011059035904,classical_fd,Replication
8,Main,TFP,0.0112851814654461,classical_fd,Replication
9,Main,output,-0.0331607545204179,classical_fd,Replication
9,Main,investment,0.386843113688423,classical_fd,Replication
9,Main,consumption,-0.11882012813858,classical_fd,Replication
9,Main,hours_worked,-0.00397594299099245,classical_fd,Replication
9,Main,unemployment,0.0879815158264767,classical_fd,Replication
9,Main,labor_share,-0.210229552963263,classical_fd,Replication
9,Main,interest,-0.0337362210363435,classical_fd,Replication
9,Main,inflation,-0.00127793111736576,classical_fd,Replication
9,Main,productivity,0.179606544259026,classical_fd,Replication
9,Main,TFP,-0.0181774008786764,classical_fd,Replication
10,Main,output,0.0160741824147575,classical_fd,Replication
10,Main,investment,0.563012350850541,classical_fd,Replication
10,Main,consumption,-0.0896972411932767,classical_fd,Replication
10,Main,hours_worked,0.0568599049309237,classical_fd,Replication
10,Main,unemployment,0.0453460819695919,classical_fd,Replication
10,Main,labor_share,-0.190016009660964,classical_fd,Replication
10,Main,interest,-0.01856018941423,classical_fd,Replication
10,Main,inflation,0.0063214266668221,classical_fd,Replication
10,Main,productivity,0.141248040107628,classical_fd,Replication
10,Main,TFP,-0.0360809279693338,classical_fd,Replication
11,Main,output,0.0433981160234822,classical_fd,Replication
11,Main,investment,0.64621283519709,classical_fd,Replication
11,Main,consumption,-0.0687998604674097,classical_fd,Replication
11,Main,hours_worked,0.0972581512773375,classical_fd,Replication
11,Main,unemployment,0.0141605569247395,classical_fd,Replication
11,Main,labor_share,-0.162577017829252,classical_fd,Replication
11,Main,interest,-0.00623403416059852,classical_fd,Replication
11,Main,inflation,0.0124371702908836,classical_fd,Replication
11,Main,productivity,0.0986967601684133,classical_fd,Replication
11,Main,TFP,-0.044604975838764,classical_fd,Replication
12,Main,output,0.0533206378838213,classical_fd,Replication
12,Main,investment,0.658128645372276,classical_fd,Replication
12,Main,consumption,-0.0555042841130965,classical_fd,Replication
12,Main,hours_worked,0.120496363653889,classical_fd,Replication
12,Main,unemployment,-0.00665565354494163,classical_fd,Replication
12,Main,labor_share,-0.132162208807337,classical_fd,Replication
12,Main,interest,0.00335457618618449,classical_fd,Replication
12,Main,inflation,0.0169511794880571,classical_fd,Replication
12,Main,productivity,0.056239896239435,classical_fd,Replication
12,Main,TFP,-0.0464035203075776,classical_fd,Replication
13,Main,output,0.0505145346580679,classical_fd,Replication
13,Main,investment,0.620105476669166,classical_fd,Replication
13,Main,consumption,-0.0486793034163708,classical_fd,Replication
13,Main,hours_worked,0.130385897178804,classical_fd,Replication
13,Main,unemployment,-0.0188180752223111,classical_fd,Replication
13,Main,labor_share,-0.10192747774469,classical_fd,Replication
13,Main,interest,0.0105038622621116,classical_fd,Replication
13,Main,inflation,0.0199345759503432,classical_fd,Replication
13,Main,productivity,0.0167150460715618,classical_fd,Replication
13,Main,TFP,-0.0440581959313432,classical_fd,Replication
14,Main,output,0.0392166932306073,classical_fd,Replication
14,Main,investment,0.550800062309167,classical_fd,Replication
14,Main,consumption,-0.0469940133816508,classical_fd,Replication
14,Main,hours_worked,0.130628109179205,classical_fd,Replication
14,Main,unemployment,-0.0242434714140329,classical_fd,Replication
14,Main,labor_share,-0.0739990734363181,classical_fd,Replication
14,Main,interest,0.0155955259516823,classical_fd,Replication
