h,impulse,response,mean,median,lower,upper,version,model
1,Main,output,-0.839721449373734,-0.839603415110399,-0.90095524207866,-0.777768413754491,current,bayesian_fd
1,Main,investment,-1.91344757580299,-1.90938833760637,-2.14633279911265,-1.69136555268566,current,bayesian_fd
1,Main,consumption,-0.703017833191248,-0.703320831896544,-0.752723440595543,-0.651943637113334,current,bayesian_fd
1,Main,hours_worked,-0.808425989258045,-0.808127169832197,-0.857609150209363,-0.758638687301959,current,bayesian_fd
1,Main,unemployment,0.637971027186899,0.637956986006714,0.606100790857365,0.669488606800075,current,bayesian_fd
1,Main,labor_share,0.29749684166942,0.298858636371911,0.227845100474654,0.360643001846334,current,bayesian_fd
1,Main,interest,-0.0614841032746096,-0.0617465330072799,-0.0771973950998496,-0.0450875908273538,current,bayesian_fd
1,Main,inflation,-0.0659303204316504,-0.0656425554578119,-0.0883839819567296,-0.0434187140775587,current,bayesian_fd
1,Main,productivity,0.034952744262147,0.0360889922436766,-0.0293409950396967,0.0984468367872589,current,bayesian_fd
1,Main,TFP,0.169367971609081,0.17014322497321,0.111475051744958,0.223815019613157,current,bayesian_fd
2,Main,output,-0.677763889180905,-0.678334621444164,-0.752535378009747,-0.600358897593529,current,bayesian_fd
2,Main,investment,-1.65357665761707,-1.66410067278265,-1.92593778014292,-1.36564040991302,current,bayesian_fd
2,Main,consumption,-0.499428245267385,-0.496080276789515,-0.552814910474272,-0.446987158310692,current,bayesian_fd
2,Main,hours_worked,-0.728577751963939,-0.727154529577978,-0.787027066673947,-0.668614893874967,current,bayesian_fd
2,Main,unemployment,0.590249102528358,0.587350841765228,0.552538921536935,0.630343543857551,current,bayesian_fd
2,Main,labor_share,0.0906761009079706,0.0875942919754577,0.0308319782384369,0.150473813322558,current,bayesian_fd
2,Main,interest,-0.0807036241882998,-0.0805962365231153,-0.0994173060789223,-0.0617631039952485,current,bayesian_fd
2,Main,inflation,-0.0227943974777803,-0.0218619978063647,-0.0412524170215927,-0.00467361836953316,current,bayesian_fd
2,Main,productivity,0.139383487333978,0.138684074255708,0.0688227239980034,0.207363521397167,current,bayesian_fd
2,Main,TFP,0.134842526773247,0.135638226335539,0.0704444156247774,0.196995466208931,current,bayesian_fd
3,Main,output,-0.557325064570946,-0.560056616674076,-0.648729860316771,-0.459230300098208,current,bayesian_fd
3,Main,investment,-1.19849683530159,-1.20530346063732,-1.52835492131557,-0.854912610148205,current,bayesian_fd
