identification,variable,weight
chol_vfci_f12,vfci,7.40904564313747
chol_vfci_f12,output,1.1600585444998e-15
chol_vfci_f12,investment,1.82451410396199e-16
chol_vfci_f12,consumption,8.86195197332895e-16
chol_vfci_f12,hours_worked,-1.81815481707565e-16
chol_vfci_f12,unemployment,1.12290750344651e-16
chol_vfci_f12,labor_share,-2.17260441552481e-16
chol_vfci_f12,interest,1.39155071849905e-15
chol_vfci_f12,inflation,-2.73187504795955e-19
chol_vfci_f12,productivity,1.67708850818117e-18
chol_vfci_f12,TFP,0
chol_vfci_f1,vfci,4.61354700899976
chol_vfci_f1,output,-1.45087001912074e-15
chol_vfci_f1,investment,-1.59594920179712e-18
chol_vfci_f1,consumption,-2.80599293166586e-33
chol_vfci_f1,hours_worked,0
chol_vfci_f1,unemployment,0
chol_vfci_f1,labor_share,0
chol_vfci_f1,interest,0
chol_vfci_f1,inflation,0
chol_vfci_f1,productivity,0
chol_vfci_f1,TFP,0
chol_fcig,fci_g,3.99850799435957
chol_fcig,output,0
chol_fcig,investment,0
chol_fcig,consumption,0
chol_fcig,hours_worked,0
chol_fcig,unemployment,0
chol_fcig,labor_share,0
chol_fcig,interest,0
chol_fcig,inflation,0
chol_fcig,productivity,0
chol_fcig,TFP,0
chol_epu,epu,0.0332289631252164
chol_epu,output,0
chol_epu,investment,0
chol_epu,consumption,0
chol_epu,hours_worked,0
chol_epu,unemployment,0
chol_epu,labor_share,0
chol_epu,interest,0
chol_epu,inflation,0
chol_epu,productivity,0
chol_epu,TFP,0
