identification,f,p,response,fevfd,total
fevdfd_vfci_f12,0,Inf,output,0.17962614209113,0.752298237568777
fevdfd_vfci_f12,0.00628947478196155,999,output,0.118978407771868,0.51602324949331
fevdfd_vfci_f12,0.0125789495639231,499.5,output,0.0590403211361199,0.284369936140607
fevdfd_vfci_f12,0.0188684243458846,333,output,0.0322192341268028,0.183865117296808
fevdfd_vfci_f12,0.0251578991278462,249.75,output,0.0200706987611799,0.141954165986947
fevdfd_vfci_f12,0.0314473739098077,199.8,output,0.0141360573722705,0.124991776569241
fevdfd_vfci_f12,0.0377368486917693,166.5,output,0.0112094383699998,0.119761665689576
fevdfd_vfci_f12,0.0440263234737308,142.714285714286,output,0.00996334073995109,0.120344271675255
fevdfd_vfci_f12,0.0503157982556924,124.875,output,0.00977944097381724,0.123641967823528
fevdfd_vfci_f12,0.0566052730376539,111,output,0.0103288137159134,0.127847094269953
fevdfd_vfci_f12,0.0628947478196155,99.9,output,0.0114078610168558,0.131888129952139
fevdfd_vfci_f12,0.069184222601577,90.8181818181818,output,0.0128716996184777,0.135203625202513
fevdfd_vfci_f12,0.0754736973835386,83.25,output,0.0146084002925894,0.137611101920315
fevdfd_vfci_f12,0.0817631721655001,76.8461538461539,output,0.0165303451516196,0.139193132076257
fevdfd_vfci_f12,0.0880526469474617,71.3571428571429,output,0.0185714755263469,0.140188165002207
fevdfd_vfci_f12,0.0943421217294232,66.6,output,0.0206853213869715,0.14089649157406
fevdfd_vfci_f12,0.100631596511385,62.4375,output,0.0228421531076694,0.141611902045096
fevdfd_vfci_f12,0.106921071293346,58.764705882353,output,0.0250253327864757,0.142581504330434
fevdfd_vfci_f12,0.113210546075308,55.5,output,0.027227501395869,0.143989024835989
fevdfd_vfci_f12,0.119500020857269,52.5789473684211,output,0.0294471648706235,0.145953913312913
fevdfd_vfci_f12,0.125789495639231,49.95,output,0.0316859694236759,0.148538998352603
fevdfd_vfci_f12,0.132078970421192,47.5714285714286,output,0.0339467160438838,0.151761429116911
fevdfd_vfci_f12,0.138368445203154,45.4090909090909,output,0.0362320252532755,0.155603770601937
fevdfd_vfci_f12,0.144657919985116,43.4347826086957,output,0.0385435123323711,0.160023748948731
fevdfd_vfci_f12,0.150947394767077,41.625,output,0.0408813348495922,0.164962162301052
fevdfd_vfci_f12,0.157236869549039,39.96,output,0.0432439985427709,0.170349008102173
fevdfd_vfci_f12,0.163526344331,38.4230769230769,output,0.0456283364570849,0.176108101474786
fevdfd_vfci_f12,0.169815819112962,37,output,0.0480296014825693,0.182160510793911
fevdfd_vfci_f12,0.176105293894923,35.6785714285714,output,0.0504416315569428,0.18842710706533
fevdfd_vfci_f12,0.182394768676885,34.448275862069,output,0.0528570600579977,0.19483046530975
fevdfd_vfci_f12,0.188684243458846,33.3,output,0.0552675525414444,0.201296294977993
fevdfd_vfci_f12,0.194973718240808,32.2258064516129,output,0.0576640563497325,0.207754523644831
fevdfd_vfci_f12,0.20126319302277,31.21875,output,0.0600370528814776,0.214140117191009
fevdfd_vfci_f12,0.207552667804731,30.2727272727273,output,0.0623768043342093,0.22039369007898
fevdfd_vfci_f12,0.213842142586693,29.3823529411765,output,0.0646735881090067,0.226461939415233
fevdfd_vfci_f12,0.220131617368654,28.5428571428571,output,0.0669179131693461,0.232297924162531
fevdfd_vfci_f12,0.226421092150616,27.75,output,0.069100713690448,0.237861204116101
fevdfd_vfci_f12,0.232710566932577,27,output,0.0712135164158268,0.243117850363343
fevdfd_vfci_f12,0.239000041714539,26.2894736842105,output,0.0732485792737933,0.248040338502579
fevdfd_vfci_f12,0.2452895164965,25.6153846153846,output,0.0751989999703371,0.252607336805956
fevdfd_vfci_f12,0.251578991278462,24.975,output,0.0770587944141697,0.256803402957191
fevdfd_vfci_f12,0.257868466060423,24.3658536585366,output,0.07882294588629,0.260618604401948
fevdfd_vfci_f12,0.264157940842385,23.7857142857143,output,0.0804874267871307,0.264048078349916
fevdfd_vfci_f12,0.270447415624347,23.2325581395349,output,0.0820491955391947,0.267091547866436
fevdfd_vfci_f12,0.276736890406308,22.7045454545455,output,0.0835061717687313,0.269752810224818
fevdfd_vfci_f12,0.28302636518827,22.2,output,0.084857193230252,0.272039212793939
fevdfd_vfci_f12,0.289315839970231,21.7173913043478,output,0.0861019580818012,0.273961130310476
fevdfd_vfci_f12,0.295605314752193,21.2553191489362,output,0.0872409560882139,0.275531455568986
fevdfd_vfci_f12,0.301894789534154,20.8125,output,0.0882753921537434,0.276765113506272
fevdfd_vfci_f12,0.308184264316116,20.3877551020408,output,0.0892071052982193,0.277678606503736
fevdfd_vfci_f12,0.314473739098077,19.98,output,0.0900384858269917,0.278289596609385
fevdfd_vfci_f12,0.320763213880039,19.5882352941176,output,0.0907723930367254,0.278616528390775
fevdfd_vfci_f12,0.327052688662,19.2115384615385,output,0.0914120753752938,0.278678294344927
fevdfd_vfci_f12,0.333342163443962,18.8490566037736,output,0.0919610945577877,0.278493943256429
fevdfd_vfci_f12,0.339631638225924,18.5,output,0.0924232547498418,0.278082430632135
fevdfd_vfci_f12,0.345921113007885,18.1636363636364,output,0.0928025375763651,0.277462409350994
fevdfd_vfci_f12,0.352210587789847,17.8392857142857,output,0.0931030434057242,0.276652057936469
fevdfd_vfci_f12,0.358500062571808,17.5263157894737,output,0.0933289390997645,0.275668943362174
fevdfd_vfci_f12,0.36478953735377,17.2241379310345,output,0.0934844122086616,0.274529915007539
fevdfd_vfci_f12,0.371079012135731,16.9322033898305,output,0.0935736314241212,0.273251026256082
fevdfd_vfci_f12,0.377368486917693,16.65,output,0.093600712980705,0.271847480240269
fevdfd_vfci_f12,0.383657961699654,16.3770491803279,output,0.0935696926081294,0.27033359635234
fevdfd_vfci_f12,0.389947436481616,16.1129032258065,output,0.0934845025817253,0.268722794331263
fevdfd_vfci_f12,0.396236911263577,15.8571428571429,output,0.0933489533884503,0.267027592977363
fevdfd_vfci_f12,0.402526386045539,15.609375,output,0.0931667195167312,0.265259620817759
fevdfd_vfci_f12,0.408815860827501,15.3692307692308,output,0.0929413288852832,0.263429636330833
fevdfd_vfci_f12,0.415105335609462,15.1363636363636,output,0.0926761554447503,0.261547555623797
fevdfd_vfci_f12,0.421394810391424,14.910447761194,output,0.0923744145130575,0.259622485734549
fevdfd_vfci_f12,0.427684285173385,14.6911764705882,output,0.0920391604378069,0.257662761990747
fevdfd_vfci_f12,0.433973759955347,14.4782608695652,output,0.0916732862145546,0.255675988100928
fevdfd_vfci_f12,0.440263234737308,14.2714285714286,output,0.0912795247265238,0.253669077872271
fevdfd_vfci_f12,0.44655270951927,14.0704225352113,output,0.0908604513078695,0.251648297646108
fevdfd_vfci_f12,0.452842184301231,13.875,output,0.0904184873679371,0.249619308715551
fevdfd_vfci_f12,0.459131659083193,13.6849315068493,output,0.0899559048474156,0.247587209140585
fevdfd_vfci_f12,0.465421133865155,13.5,output,0.0894748313083657,0.245556574505922
fevdfd_vfci_f12,0.471710608647116,13.32,output,0.0889772554885589,0.243531497277512
fevdfd_vfci_f12,0.478000083429078,13.1447368421053,output,0.0884650331763085,0.241515624506724
fevdfd_vfci_f12,0.484289558211039,12.974025974026,output,0.0879398932849828,0.239512193708752
fevdfd_vfci_f12,0.490579032993001,12.8076923076923,output,0.0874034440267712,0.237524066805573
fevdfd_vfci_f12,0.496868507774962,12.6455696202532,output,0.0868571791031577,0.235553762075604
fevdfd_vfci_f12,0.503157982556924,12.4875,output,0.0863024838451282,0.233603484093767
fevdfd_vfci_f12,0.509447457338885,12.3333333333333,output,0.0857406412495729,0.231675151678394
fevdfd_vfci_f12,0.515736932120847,12.1829268292683,output,0.0851728378698707,0.229770423886707
fevdfd_vfci_f12,0.522026406902809,12.0361445783133,output,0.08460016952845,0.227890724119749
fevdfd_vfci_f12,0.52831588168477,11.8928571428571,output,0.0840236468273832,0.226037262411529
fevdfd_vfci_f12,0.534605356466732,11.7529411764706,output,0.0834442004400231,0.224211055986882
fevdfd_vfci_f12,0.540894831248693,11.6162790697674,output,0.0828626861724415,0.222412948178762
fevdfd_vfci_f12,0.547184306030655,11.4827586206897,output,0.0822798897881866,0.220643625799184
fevdfd_vfci_f12,0.553473780812616,11.3522727272727,output,0.0816965315937445,0.218903635059288
fevdfd_vfci_f12,0.559763255594578,11.2247191011236,output,0.0811132707852125,0.21719339613354
fevdfd_vfci_f12,0.566052730376539,11.1,output,0.0805307095591883,0.215513216461345
fevdfd_vfci_f12,0.572342205158501,10.978021978022,output,0.0799493969928148,0.213863302876525
fevdfd_vfci_f12,0.578631679940462,10.8586956521739,output,0.0793698326994202,0.212243772651685
fevdfd_vfci_f12,0.584921154722424,10.741935483871,output,0.0787924702673072,0.21065466354046
fevdfd_vfci_f12,0.591210629504385,10.6276595744681,output,0.0782177204900418,0.209095942896331
fevdfd_vfci_f12,0.597500104286347,10.5157894736842,output,0.0776459543971352,0.207567515942226
fevdfd_vfci_f12,0.603789579068309,10.40625,output,0.0770775060943361,0.206069233260531
fevdfd_vfci_f12,0.61007905385027,10.298969072165,output,0.0765126754229097,0.204600897568595
fevdfd_vfci_f12,0.616368528632232,10.1938775510204,output,0.075951730447294,0.20316226984036
fevdfd_vfci_f12,0.622658003414193,10.0909090909091,output,0.0753949097804351,0.201753074830406
fevdfd_vfci_f12,0.628947478196155,9.99,output,0.0748424247559224,0.200373006052528
fevdfd_vfci_f12,0.635236952978116,9.89108910891089,output,0.0742944614557972,0.199021730260999
fevdfd_vfci_f12,0.641526427760078,9.79411764705882,output,0.073751182602628,0.197698891478898
fevdfd_vfci_f12,0.647815902542039,9.69902912621359,output,0.0732127293241093,0.196404114614348
fevdfd_vfci_f12,0.654105377324001,9.60576923076923,output,0.0726792227980883,0.195137008702156
fevdfd_vfci_f12,0.660394852105963,9.51428571428571,output,0.0721507657855659,0.193897169805242
fevdfd_vfci_f12,0.666684326887924,9.42452830188679,output,0.0716274440588362,0.192684183607369
fevdfd_vfci_f12,0.672973801669886,9.33644859813084,output,0.0711093277315633,0.191497627725949
fevdfd_vfci_f12,0.679263276451847,9.25,output,0.0705964724972151,0.190337073771271
fevdfd_vfci_f12,0.685552751233809,9.1651376146789,output,0.0700889207819079,0.189202089176122
fevdfd_vfci_f12,0.69184222601577,9.08181818181818,output,0.0695867028173731,0.188092238817735
fevdfd_vfci_f12,0.698131700797732,9,output,0.0690898376393962,0.187007086451976
fevdfd_vfci_f12,0.704421175579693,8.91964285714286,output,0.068598334016757,0.185946195977924
fevdfd_vfci_f12,0.710710650361655,8.84070796460177,output,0.0681121913153893,0.184909132549375
fevdfd_vfci_f12,0.717000125143616,8.76315789473684,output,0.0676314003021597,0.183895463548224
fevdfd_vfci_f12,0.723289599925578,8.68695652173913,output,0.067155943892395,0.182904759433407
fevdfd_vfci_f12,0.72957907470754,8.61206896551724,output,0.066685797845008,0.181936594477728
fevdfd_vfci_f12,0.735868549489501,8.53846153846154,output,0.0662209314088135,0.18099054740381
fevdfd_vfci_f12,0.742158024271463,8.46610169491525,output,0.0657613079233879,0.180066201929333
fevdfd_vfci_f12,0.748447499053424,8.39495798319328,output,0.0653068853775978,0.179163147230791
fevdfd_vfci_f12,0.754736973835386,8.325,output,0.0648576169287057,0.178280978334092
fevdfd_vfci_f12,0.761026448617347,8.25619834710744,output,0.0644134513847644,0.177419296439592
fevdfd_vfci_f12,0.767315923399309,8.18852459016394,output,0.0639743336528196,0.176577709188363
fevdfd_vfci_f12,0.77360539818127,8.1219512195122,output,0.0635402051552684,0.175755830875916
fevdfd_vfci_f12,0.779894872963232,8.05645161290323,output,0.063111004216555,0.17495328261894
fevdfd_vfci_f12,0.786184347745193,7.992,output,0.0626866664222321,0.174169692480133
fevdfd_vfci_f12,0.792473822527155,7.92857142857143,output,0.0622671249522701,0.173404695555665
fevdfd_vfci_f12,0.798763297309117,7.86614173228346,output,0.0618523108903751,0.172657934029418
fevdfd_vfci_f12,0.805052772091078,7.8046875,output,0.0614421535109319,0.171929057197692
fevdfd_vfci_f12,0.81134224687304,7.74418604651163,output,0.0610365805450967,0.171217721467756
fevdfd_vfci_f12,0.817631721655001,7.68461538461539,output,0.0606355184274351,0.170523590333243
fevdfd_vfci_f12,0.823921196436963,7.62595419847328,output,0.0602388925244188,0.169846334329137
fevdfd_vfci_f12,0.830210671218924,7.56818181818182,output,0.0598466273459895,0.169185630968784
fevdfd_vfci_f12,0.836500146000886,7.51127819548872,output,0.0594586467413199,0.168541164665159
fevdfd_vfci_f12,0.842789620782847,7.45522388059702,output,0.0590748740798166,0.167912626638353
fevdfd_vfci_f12,0.849079095564809,7.4,output,0.0586952324183431,0.167299714811099
fevdfd_vfci_f12,0.85536857034677,7.34558823529412,output,0.0583196446555621,0.166702133693921
fevdfd_vfci_f12,0.861658045128732,7.29197080291971,output,0.0579480336742425,0.166119594261373
fevdfd_vfci_f12,0.867947519910694,7.23913043478261,output,0.0575803224723131,0.165551813820655
fevdfd_vfci_f12,0.874236994692655,7.18705035971223,output,0.0572164342833886,0.164998515873785
fevdfd_vfci_f12,0.880526469474617,7.13571428571429,output,0.0568562926874509,0.164459429974376
fevdfd_vfci_f12,0.886815944256578,7.08510638297872,output,0.0564998217123099,0.16393429157996
fevdfd_vfci_f12,0.89310541903854,7.03521126760563,output,0.0561469459264398,0.163422841900706
fevdfd_vfci_f12,0.899394893820501,6.98601398601399,output,0.0557975905237314,0.162924827745299
fevdfd_vfci_f12,0.905684368602463,6.9375,output,0.0554516814006778,0.162440001364657
fevdfd_vfci_f12,0.911973843384424,6.8896551724138,output,0.0551091452264692,0.161968120294105
fevdfd_vfci_f12,0.918263318166386,6.84246575342466,output,0.0547699095064429,0.161508947194564
fevdfd_vfci_f12,0.924552792948347,6.79591836734694,output,0.0544339026393057,0.161062249693236
fevdfd_vfci_f12,0.930842267730309,6.75,output,0.054101053968522,0.160627800224255
fevdfd_vfci_f12,0.937131742512271,6.70469798657718,output,0.0537712938282307,0.160205375869685
fevdfd_vfci_f12,0.943421217294232,6.66,output,0.0534445535840371,0.159794758201239
fevdfd_vfci_f12,0.949710692076194,6.6158940397351,output,0.0531207656690042,0.159395733123057
fevdfd_vfci_f12,0.956000166858155,6.57236842105263,output,0.0527998636151422,0.159008090715814
fevdfd_vfci_f12,0.962289641640117,6.52941176470588,output,0.0524817820806892,0.15863162508245
fevdfd_vfci_f12,0.968579116422078,6.48701298701299,output,0.0521664568734475,0.158266134195761
fevdfd_vfci_f12,0.97486859120404,6.44516129032258,output,0.051853824970435,0.157911419748059
fevdfd_vfci_f12,0.981158065986001,6.40384615384615,output,0.0515438245340905,0.157567287003129
fevdfd_vfci_f12,0.987447540767963,6.36305732484077,output,0.0512363949252631,0.157233544650644
fevdfd_vfci_f12,0.993737015549925,6.32278481012658,output,0.0509314767132029,0.156910004663229
fevdfd_vfci_f12,1.00002649033189,6.28301886792453,output,0.0506290116827572,0.156596482156305
fevdfd_vfci_f12,1.00631596511385,6.24375,output,0.0503289428389725,0.156292795250895
fevdfd_vfci_f12,1.01260543989581,6.20496894409938,output,0.0500312144092876,0.155998764939495
fevdfd_vfci_f12,1.01889491467777,6.16666666666667,output,0.0497357718434938,0.155714214955142
fevdfd_vfci_f12,1.02518438945973,6.12883435582822,output,0.049442561811639,0.155438971643815
fevdfd_vfci_f12,1.03147386424169,6.09146341463415,output,0.0491515322000342,0.155172863840253
fevdfd_vfci_f12,1.03776333902366,6.05454545454546,output,0.048862632105521,0.154915722747312
fevdfd_vfci_f12,1.04405281380562,6.01807228915663,output,0.0485758118281503,0.154667381818951
fevdfd_vfci_f12,1.05034228858758,5.98203592814371,output,0.0482910228624155,0.15442767664694
fevdfd_vfci_f12,1.05663176336954,5.94642857142857,output,0.0480082178871795,0.154196444851378
fevdfd_vfci_f12,1.0629212381515,5.9112426035503,output,0.0477273507544286,0.153973525975111
fevdfd_vfci_f12,1.06921071293346,5.87647058823529,output,0.0474483764769787,0.153758761382115
fevdfd_vfci_f12,1.07550018771542,5.8421052631579,output,0.047171251215261,0.153551994159933
fevdfd_vfci_f12,1.08178966249739,5.80813953488372,output,0.0468959322632989,0.153353069026231
fevdfd_vfci_f12,1.08807913727935,5.77456647398844,output,0.0466223780339981,0.153161832239546
fevdfd_vfci_f12,1.09436861206131,5.74137931034483,output,0.0463505480438493,0.152978131514285
fevdfd_vfci_f12,1.10065808684327,5.70857142857143,output,0.0460804028971549,0.152801815940036
fevdfd_vfci_f12,1.10694756162523,5.67613636363636,output,0.045811904269878,0.152632735905265
fevdfd_vfci_f12,1.11323703640719,5.64406779661017,output,0.0455450148932063,0.152470743025425
fevdfd_vfci_f12,1.11952651118916,5.6123595505618,output,0.0452796985369294,0.152315690075557
fevdfd_vfci_f12,1.12581598597112,5.58100558659218,output,0.0450159199927087,0.152167430927413
fevdfd_vfci_f12,1.13210546075308,5.55,output,0.0447536450573304,0.152025820491147
fevdfd_vfci_f12,1.13839493553504,5.51933701657459,output,0.0444928405160154,0.151890714661617
fevdfd_vfci_f12,1.144684410317,5.48901098901099,output,0.0442334741258643,0.151761970269334
fevdfd_vfci_f12,1.15097388509896,5.45901639344262,output,0.0439755145995064,0.151639445036085
fevdfd_vfci_f12,1.15726335988092,5.42934782608696,output,0.0437189315890184,0.151522997535258
fevdfd_vfci_f12,1.16355283466289,5.4,output,0.0434636956701774,0.151412487156893
fevdfd_vfci_f12,1.16984230944485,5.37096774193548,output,0.043209778327103,0.151307774077471
fevdfd_vfci_f12,1.17613178422681,5.34224598930481,output,0.0429571519373438,0.151208719234454
fevdfd_vfci_f12,1.18242125900877,5.31382978723404,output,0.0427057897574572,0.151115184305592
fevdfd_vfci_f12,1.18871073379073,5.28571428571429,output,0.0424556659091243,0.15102703169297
fevdfd_vfci_f12,1.19500020857269,5.25789473684211,output,0.0422067553658464,0.150944124511825
fevdfd_vfci_f12,1.20128968335466,5.2303664921466,output,0.041959033940251,0.150866326584089
fevdfd_vfci_f12,1.20757915813662,5.203125,output,0.0417124782720453,0.150793502436662
fevdfd_vfci_f12,1.21386863291858,5.17616580310881,output,0.0414670658166396,0.15072551730437
fevdfd_vfci_f12,1.22015810770054,5.14948453608248,output,0.0412227748344663,0.150662237137595
fevdfd_vfci_f12,1.2264475824825,5.12307692307692,output,0.0409795843810096,0.150603528614519
fevdfd_vfci_f12,1.23273705726446,5.0969387755102,output,0.0407374742975624,0.150549259157949
fevdfd_vfci_f12,1.23902653204643,5.07106598984772,output,0.0404964252027169,0.150499296956657
fevdfd_vfci_f12,1.24531600682839,5.04545454545455,output,0.0402564184845957,0.150453510991182
fevdfd_vfci_f12,1.25160548161035,5.02010050251256,output,0.0400174362938234,0.150411771064009
fevdfd_vfci_f12,1.25789495639231,4.995,output,0.0397794615372351,0.15037394783407
fevdfd_vfci_f12,1.26418443117427,4.97014925373135,output,0.0395424778723133,0.150339912855445
fevdfd_vfci_f12,1.27047390595623,4.94554455445545,output,0.0393064697023431,0.150309538620199
fevdfd_vfci_f12,1.27676338073819,4.92118226600985,output,0.0390714221722684,0.150282698605235
fevdfd_vfci_f12,1.28305285552016,4.89705882352941,output,0.038837321165229,0.150259267323045
fevdfd_vfci_f12,1.28934233030212,4.87317073170732,output,0.0386041532997578,0.15023912037625
fevdfd_vfci_f12,1.29563180508408,4.8495145631068,output,0.0383719059276083,0.150222134515786
fevdfd_vfci_f12,1.30192127986604,4.82608695652174,output,0.0381405671321834,0.150208187702602
fevdfd_vfci_f12,1.308210754648,4.80288461538462,output,0.037910125727531,0.150197159172724
fevdfd_vfci_f12,1.31450022942996,4.7799043062201,output,0.0376805712578711,0.150188929505511
fevdfd_vfci_f12,1.32078970421193,4.75714285714286,output,0.0374518939976133,0.150183380694967
fevdfd_vfci_f12,1.32707917899389,4.7345971563981,output,0.0372240849518202,0.150180396223895
fevdfd_vfci_f12,1.33336865377585,4.7122641509434,output,0.0369971358570771,0.150179861140748
fevdfd_vfci_f12,1.33965812855781,4.69014084507042,output,0.0367710391827154,0.150181662138956
fevdfd_vfci_f12,1.34594760333977,4.66822429906542,output,0.0365457881323414,0.150185687638547
fevdfd_vfci_f12,1.35223707812173,4.64651162790698,output,0.0363213766456203,0.150191827869846
fevdfd_vfci_f12,1.35852655290369,4.625,output,0.0360977994002628,0.150199974959044
fevdfd_vfci_f12,1.36481602768566,4.6036866359447,output,0.0358750518141547,0.150210023015402
fevdfd_vfci_f12,1.37110550246762,4.58256880733945,output,0.0356531300475811,0.150221868219881
fevdfd_vfci_f12,1.37739497724958,4.56164383561644,output,0.0354320310054833,0.150235408914943
