identification,date,response,hd,total
hr_macro,1962-07-01,output,0.0846718749673503,-0.500630534323023
hr_macro,1962-07-01,investment,0.0411607176178375,-2.19291339067263
hr_macro,1962-07-01,consumption,0.130857893753294,-0.121478165436429
hr_macro,1962-07-01,hours_worked,0.0971043805312464,-0.0406822925260713
hr_macro,1962-07-01,unemployment,-0.0947378640978767,0.1511519207787
hr_macro,1962-07-01,labor_share,-0.0845205988123593,0.482540200414121
hr_macro,1962-07-01,interest,0.0279476198306412,0.052695981331652
hr_macro,1962-07-01,inflation,0.0154213508761644,-0.0109655413639332
hr_macro,1962-07-01,productivity,-0.0305153811337594,0.053218473902518
hr_macro,1962-07-01,TFP,0.0117841653279281,0.0153291647348579
hr_fin,1962-07-01,output,-0.169004808901223,-0.500630534323023
hr_fin,1962-07-01,investment,-0.342458698836299,-2.19291339067263
hr_fin,1962-07-01,consumption,-0.184320057006903,-0.121478165436429
hr_fin,1962-07-01,hours_worked,-0.12427286466793,-0.0406822925260713
hr_fin,1962-07-01,unemployment,0.0610415203250559,0.1511519207787
hr_fin,1962-07-01,labor_share,0.126681698033639,0.482540200414122
hr_fin,1962-07-01,interest,0.114021981728254,0.0526959813316523
hr_fin,1962-07-01,inflation,0.00872326368197135,-0.0109655413639332
hr_fin,1962-07-01,productivity,-0.0425278614252277,0.0532184739025181
hr_fin,1962-07-01,TFP,-0.154757445017473,0.0153291647348577
hr_macro,1962-10-01,output,0.197588883752316,-1.85922486248554
hr_macro,1962-10-01,investment,-0.0153046739383984,-5.43168856814384
hr_macro,1962-10-01,consumption,0.340150336423267,-0.456282338236349
hr_macro,1962-10-01,hours_worked,0.265907173220504,-1.49814805146418
hr_macro,1962-10-01,unemployment,-0.268041254925388,0.2891953642557
hr_macro,1962-10-01,labor_share,-0.198423842908317,1.26845238411691
hr_macro,1962-10-01,interest,0.0883064763578253,0.0985375303314968
hr_macro,1962-10-01,inflation,0.0432923002237989,-0.0022046320063018
hr_macro,1962-10-01,productivity,-0.132053687613847,-0.190716110061046
hr_macro,1962-10-01,TFP,0.0394624156861574,0.471298069672792
hr_fin,1962-10-01,output,-0.305782365768858,-1.85922486248553
hr_fin,1962-10-01,investment,-0.48313239209557,-5.43168856814384
hr_fin,1962-10-01,consumption,-0.416456902085447,-0.456282338236349
hr_fin,1962-10-01,hours_worked,-0.269168415887935,-1.49814805146418
hr_fin,1962-10-01,unemployment,0.138210713970301,0.289195364255699
hr_fin,1962-10-01,labor_share,0.159303738952951,1.26845238411691
hr_fin,1962-10-01,interest,0.245443517741843,0.0985375303314976
hr_fin,1962-10-01,inflation,0.0409692737831989,-0.00220463200630168
hr_fin,1962-10-01,productivity,-0.0710477727262103,-0.190716110061046
hr_fin,1962-10-01,TFP,-0.287986866266706,0.471298069672792
hr_macro,1963-01-01,output,-0.0740424463214208,-2.18320120828535
hr_macro,1963-01-01,investment,-0.468280733258639,-3.99024819951184
hr_macro,1963-01-01,consumption,0.0134019368703047,-1.16052861245595
