identification,h,response,irf
chol_vfci_f12,1,vfci,0.134970149755554
chol_vfci_f12,1,output,0.130539183634643
chol_vfci_f12,1,investment,0.520942454082648
chol_vfci_f12,1,consumption,0.0803750126331486
chol_vfci_f12,1,hours_worked,0.159762882659784
chol_vfci_f12,1,unemployment,-0.109678956295484
chol_vfci_f12,1,labor_share,0.0632379172671623
chol_vfci_f12,1,interest,0.145004190567241
chol_vfci_f12,1,inflation,0.0273464329421524
chol_vfci_f12,1,productivity,-0.0592604923674903
chol_vfci_f12,1,TFP,-0.133696134610833
chol_vfci_f12,2,vfci,0.131248120507002
chol_vfci_f12,2,output,-0.0624713616097734
chol_vfci_f12,2,investment,0.165808957340962
chol_vfci_f12,2,consumption,-0.165030381689693
chol_vfci_f12,2,hours_worked,-0.0290050153581335
chol_vfci_f12,2,unemployment,-0.0539335410361322
chol_vfci_f12,2,labor_share,0.160101022325844
chol_vfci_f12,2,interest,0.163119763669798
chol_vfci_f12,2,inflation,0.048705158885249
chol_vfci_f12,2,productivity,-0.0693077200338726
chol_vfci_f12,2,TFP,-0.0191351129474741
chol_vfci_f12,3,vfci,0.106791397481252
chol_vfci_f12,3,output,0.00455205451760468
chol_vfci_f12,3,investment,-0.188405257695082
chol_vfci_f12,3,consumption,0.0721357750850248
chol_vfci_f12,3,hours_worked,-0.00221844594655666
chol_vfci_f12,3,unemployment,-0.100152674234121
chol_vfci_f12,3,labor_share,0.162205249823103
chol_vfci_f12,3,interest,0.142506690038252
chol_vfci_f12,3,inflation,0.0681986469418783
chol_vfci_f12,3,productivity,-0.08226147302283
chol_vfci_f12,3,TFP,-0.0243947296771245
chol_vfci_f12,4,vfci,0.0855826990524024
chol_vfci_f12,4,output,-0.0990288409709436
chol_vfci_f12,4,investment,-0.4541226041895
chol_vfci_f12,4,consumption,-0.0192611672028765
chol_vfci_f12,4,hours_worked,-0.0689205791600743
chol_vfci_f12,4,unemployment,-0.0762393559803477
chol_vfci_f12,4,labor_share,0.267893241477133
chol_vfci_f12,4,interest,0.125686399603135
chol_vfci_f12,4,inflation,0.0613196627109505
chol_vfci_f12,4,productivity,-0.0696145394574673
chol_vfci_f12,4,TFP,0.0423618599702191
chol_vfci_f12,5,vfci,0.0632460666888544
chol_vfci_f12,5,output,-0.0808639047555543
chol_vfci_f12,5,investment,-0.344928328627838
chol_vfci_f12,5,consumption,-0.0286248320098072
chol_vfci_f12,5,hours_worked,-0.0765601937431522
chol_vfci_f12,5,unemployment,-0.0308163525032893
chol_vfci_f12,5,labor_share,0.258771666460271
chol_vfci_f12,5,interest,0.106251727751884
chol_vfci_f12,5,inflation,0.0718253992043958
chol_vfci_f12,5,productivity,-0.0237112711287118
chol_vfci_f12,5,TFP,-0.0084161854377386
chol_vfci_f12,6,vfci,0.0449814866031719
chol_vfci_f12,6,output,-0.0624629929215251
chol_vfci_f12,6,investment,-0.264838768334973
chol_vfci_f12,6,consumption,-0.0148691523049424
chol_vfci_f12,6,hours_worked,-0.0614738585526667
chol_vfci_f12,6,unemployment,0.00306401392582999
chol_vfci_f12,6,labor_share,0.265340324895263
chol_vfci_f12,6,interest,0.089370556499306
chol_vfci_f12,6,inflation,0.0696462194775217
