identification,h,response,irf
hr_macro,1,output,0.247160037143809
hr_macro,1,investment,0.535485629643135
hr_macro,1,consumption,0.471878817952023
hr_macro,1,hours_worked,0.561474186837248
hr_macro,1,unemployment,-0.379621240945799
hr_macro,1,labor_share,-0.0726995011618626
hr_macro,1,interest,0.0906032975617355
hr_macro,1,inflation,0.0476682138134067
hr_macro,1,productivity,-0.307401058740153
hr_macro,1,TFP,-0.297499972845952
hr_macro,2,output,0.126705038606658
hr_macro,2,investment,0.429345788673211
hr_macro,2,consumption,0.270457153844225
hr_macro,2,hours_worked,0.502160809487307
hr_macro,2,unemployment,-0.346060147061108
hr_macro,2,labor_share,0.0596314687820916
hr_macro,2,interest,0.109698775898443
hr_macro,2,inflation,0.045253913971148
hr_macro,2,productivity,-0.419214306396335
hr_macro,2,TFP,-0.280267383476939
hr_macro,3,output,-0.0451128801400587
hr_macro,3,investment,-0.0426670583222698
hr_macro,3,consumption,0.0844267420672832
hr_macro,3,hours_worked,0.296075053122473
hr_macro,3,unemployment,-0.214910406286247
hr_macro,3,labor_share,0.00380812874921551
hr_macro,3,interest,0.0935968174150177
hr_macro,3,inflation,0.014673816429873
hr_macro,3,productivity,-0.419232187494408
hr_macro,3,TFP,-0.284875395617662
hr_macro,4,output,-0.158064024146736
hr_macro,4,investment,-0.504538821789103
hr_macro,4,consumption,0.0104836728589381
hr_macro,4,hours_worked,0.158780256560393
hr_macro,4,unemployment,-0.131471469176091
hr_macro,4,labor_share,0.020336162436089
hr_macro,4,interest,0.0770640215020034
hr_macro,4,inflation,-0.00877630713895539
hr_macro,4,productivity,-0.409903517158631
hr_macro,4,TFP,-0.260023208306967
hr_macro,5,output,-0.246302832615161
hr_macro,5,investment,-0.820964922810344
hr_macro,5,consumption,-0.0584036510367424
hr_macro,5,hours_worked,0.0440503711221167
hr_macro,5,unemployment,-0.0622161543614342
hr_macro,5,labor_share,0.0261799354403895
hr_macro,5,interest,0.0613187084229394
hr_macro,5,inflation,-0.0221700440975866
hr_macro,5,productivity,-0.38374722752154
hr_macro,5,TFP,-0.242204878054262
hr_macro,6,output,-0.322809532424556
hr_macro,6,investment,-1.05666664016999
hr_macro,6,consumption,-0.122598422102856
hr_macro,6,hours_worked,-0.0564002198208299
hr_macro,6,unemployment,0.000368514123591497
hr_macro,6,labor_share,0.0282350177616253
hr_macro,6,interest,0.0432690637513165
hr_macro,6,inflation,-0.0323828370230169
hr_macro,6,productivity,-0.354192603074872
hr_macro,6,TFP,-0.234116341452026
hr_macro,7,output,-0.381819832228298
hr_macro,7,investment,-1.22040047558083
hr_macro,7,consumption,-0.173927477162668
hr_macro,7,hours_worked,-0.136541302978909
hr_macro,7,unemployment,0.0514668252476931
hr_macro,7,labor_share,0.0222103988496484
hr_macro,7,interest,0.0245496014538409
hr_macro,7,inflation,-0.0393267357627306
hr_macro,7,productivity,-0.320482668227466
hr_macro,7,TFP,-0.229902051520479
hr_macro,8,output,-0.422221226746292
hr_macro,8,investment,-1.31607448471287
hr_macro,8,consumption,-0.21142006427513
hr_macro,8,hours_worked,-0.19572457937155
