identification,variable,weight
chol_vfci_f12,vfci,1
chol_vfci_f12,output,0
chol_vfci_f12,investment,0
chol_vfci_f12,consumption,0
chol_vfci_f12,hours_worked,0
chol_vfci_f12,unemployment,0
chol_vfci_f12,labor_share,0
chol_vfci_f12,interest,0
chol_vfci_f12,inflation,0
chol_vfci_f12,productivity,0
chol_vfci_f12,TFP,0
chol_vfci_f1,vfci,1
chol_vfci_f1,output,0
chol_vfci_f1,investment,0
chol_vfci_f1,consumption,0
chol_vfci_f1,hours_worked,0
chol_vfci_f1,unemployment,0
chol_vfci_f1,labor_share,0
chol_vfci_f1,interest,0
chol_vfci_f1,inflation,0
chol_vfci_f1,productivity,0
chol_vfci_f1,TFP,0
chol_fcig,fci_g,1
chol_fcig,output,0
chol_fcig,investment,0
chol_fcig,consumption,0
chol_fcig,hours_worked,0
chol_fcig,unemployment,0
chol_fcig,labor_share,0
chol_fcig,interest,0
chol_fcig,inflation,0
chol_fcig,productivity,0
chol_fcig,TFP,0
chol_epu,epu,1
chol_epu,output,0
chol_epu,investment,0
chol_epu,consumption,0
chol_epu,hours_worked,0
chol_epu,unemployment,0
chol_epu,labor_share,0
chol_epu,interest,0
chol_epu,inflation,0
chol_epu,productivity,0
chol_epu,TFP,0
