fevd,h,impulse,response
34.5570968519007,1,Main,output
43.9613203219904,2,Main,output
52.7803675758027,3,Main,output
58.5460757954058,4,Main,output
61.3667238423613,5,Main,output
61.7901425513136,6,Main,output
60.5338351332835,7,Main,output
58.3082941469609,8,Main,output
55.6709169357895,9,Main,output
52.9922487659318,10,Main,output
50.4832156928844,11,Main,output
48.2431341099446,12,Main,output
46.3018283063925,13,Main,output
44.6498029709617,14,Main,output
43.257712442286,15,Main,output
42.0882721442583,16,Main,output
41.1033130935782,17,Main,output
40.2677739302554,18,Main,output
39.5517161327831,19,Main,output
38.9310105462683,20,Main,output
38.3871240865001,21,Main,output
37.9063381314544,22,Main,output
37.4786804263005,23,Main,output
37.0968051660146,24,Main,output
36.7549953230566,25,Main,output
36.44839107772,26,Main,output
36.1724806234637,27,Main,output
35.9228360835312,28,Main,output
35.6950436667023,29,Main,output
35.4847633628563,30,Main,output
35.287855205528,31,Main,output
35.100520597299,32,Main,output
34.9194229191272,33,Main,output
34.7417674679454,34,Main,output
34.5653341097116,35,Main,output
34.3884657136192,36,Main,output
34.2100212935278,37,Main,output
34.029305317775,38,Main,output
33.8459846714323,39,Main,output
33.6600031547067,40,Main,output
32.9595463593326,1,Main,investment
45.3357152360881,2,Main,investment
56.9863383010185,3,Main,investment
63.9026091228473,4,Main,investment
66.479617423753,5,Main,investment
65.6293174416013,6,Main,investment
62.5901543215053,7,Main,investment
58.5607023264976,8,Main,investment
54.4087882887371,9,Main,investment
50.6256916365021,10,Main,investment
47.418792020495,11,Main,investment
44.8250580549991,12,Main,investment
42.7944215832715,13,Main,investment
41.2400701487896,14,Main,investment
40.065822983892,15,Main,investment
39.180365939552,16,Main,investment
38.5044344057182,17,Main,investment
37.9740512799992,18,Main,investment
37.5412381571525,19,Main,investment
37.1729112683212,20,Main,investment
36.848510005819,21,Main,investment
36.5569306670808,22,Main,investment
36.2933382178106,23,Main,investment
36.0563298646443,24,Main,investment
35.84574792819,25,Main,investment
35.661246354362,26,Main,investment
35.5015580013375,27,Main,investment
35.3643136320877,28,Main,investment
35.2462274257003,29,Main,investment
35.1434724415674,30,Main,investment
35.0521040131876,31,Main,investment
34.9684335897021,32,Main,investment
34.8892991154687,33,Main,investment
34.8122143056211,34,Main,investment
34.7354053371072,35,Main,investment
34.6577591837048,36,Main,investment
34.5787143269592,37,Main,investment
34.4981240244765,38,Main,investment
34.4161171957924,39,Main,investment
34.3329746494123,40,Main,investment
17.8867535880053,1,Main,consumption
26.9725312396384,2,Main,consumption
32.3968273918072,3,Main,consumption
35.7846238601506,4,Main,consumption
37.8975941939322,5,Main,consumption
39.0991686549121,6,Main,consumption
39.5968214092763,7,Main,consumption
39.560322835048,8,Main,consumption
39.145078134422,9,Main,consumption
38.4843794657265,10,Main,consumption
37.6839753543372,11,Main,consumption
36.8219762255726,12,Main,consumption
35.9524197813978,13,Main,consumption
35.1102275759345,14,Main,consumption
34.3161389969852,15,Main,consumption
33.580935313979,16,Main,consumption
32.9087604038677,17,Main,consumption
32.2995789728568,18,Main,consumption
31.7509051551828,19,Main,consumption
31.2589536400013,20,Main,consumption
30.8193566809173,21,Main,consumption
30.4275719026834,22,Main,consumption
30.0790848576856,23,Main,consumption
29.7694887673857,24,Main,consumption
29.4945027230419,25,Main,consumption
29.2499698313108,26,Main,consumption
29.0318595597728,27,Main,consumption
28.8362848462076,28,Main,consumption
28.6595348571602,29,Main,consumption
28.4981184988789,30,Main,consumption
28.3488113032216,31,Main,consumption
28.2086982727262,32,Main,consumption
28.0752067589508,33,Main,consumption
27.9461256560619,34,Main,consumption
27.8196094962987,35,Main,consumption
27.6941680270919,36,Main,consumption
27.5686433174437,37,Main,consumption
27.4421773236046,38,Main,consumption
27.314173187092,39,Main,consumption
27.1842534489246,40,Main,consumption
12.8365016010564,1,Main,hours_worked
27.6725865744205,2,Main,hours_worked
40.41201188834,3,Main,hours_worked
50.3736291154901,4,Main,hours_worked
57.1289007987952,5,Main,hours_worked
60.6626826105201,6,Main,hours_worked
61.4437297336281,7,Main,hours_worked
60.247569166304,8,Main,hours_worked
57.9116991575926,9,Main,hours_worked
55.1183205050496,10,Main,hours_worked
52.3224915297122,11,Main,hours_worked
49.7779013431638,12,Main,hours_worked
47.5957217907514,13,Main,hours_worked
45.7986146073721,14,Main,hours_worked
44.3594559108077,15,Main,hours_worked
43.2262043502409,16,Main,hours_worked
42.337307670174,17,Main,hours_worked
41.6312664842937,18,Main,hours_worked
41.0525706927165,19,Main,hours_worked
40.5551310248513,20,Main,hours_worked
40.1037512521496,21,Main,hours_worked
39.6740083976979,22,Main,hours_worked
39.2509420407647,23,Main,hours_worked
38.8270268591792,24,Main,hours_worked
38.3999104883504,25,Main,hours_worked
37.9703156595514,26,Main,hours_worked
37.5403619730655,27,Main,hours_worked
37.1124087090115,28,Main,hours_worked
36.688395993203,29,Main,hours_worked
36.2695855695688,30,Main,hours_worked
35.8565729923728,31,Main,hours_worked
35.4494480701949,32,Main,hours_worked
35.0480051209765,33,Main,hours_worked
34.6519365554383,34,Main,hours_worked
34.2609739858317,35,Main,hours_worked
33.874965753775,36,Main,hours_worked
33.4938967024783,37,Main,hours_worked
33.1178653600694,38,Main,hours_worked
32.7470367684174,39,Main,hours_worked
32.3815878125217,40,Main,hours_worked
49.5063096381972,1,Main,unemployment
57.0814792507456,2,Main,unemployment
67.1912207300203,3,Main,unemployment
75.5919218981168,4,Main,unemployment
81.6201154334916,5,Main,unemployment
84.9466663340039,6,Main,unemployment
85.7169774431156,7,Main,unemployment
84.462623557834,8,Main,unemployment
81.8885332303914,9,Main,unemployment
78.6586196773485,10,Main,unemployment
75.2783510498875,11,Main,unemployment
72.0738813093038,12,Main,unemployment
69.2221804504327,13,Main,unemployment
66.7941172733969,14,Main,unemployment
64.7921495172315,15,Main,unemployment
63.1780336929893,16,Main,unemployment
61.8918522801152,17,Main,unemployment
60.8649863184416,18,Main,unemployment
60.0291507588354,19,Main,unemployment
59.3227091645959,20,Main,unemployment
58.6947796057696,21,Main,unemployment
58.107304359636,22,Main,unemployment
57.5352422583921,23,Main,unemployment
56.9652108454639,24,Main,unemployment
56.3930895953285,25,Main,unemployment
55.8211764746384,26,Main,unemployment
55.2554323673307,27,Main,unemployment
54.703187852018,28,Main,unemployment
54.1714927183968,29,Main,unemployment
53.6661203171877,30,Main,unemployment
53.1911276598233,31,Main,unemployment
52.7488213103187,32,Main,unemployment
52.3399748159827,33,Main,unemployment
51.9641669194968,34,Main,unemployment
51.6201447554332,35,Main,unemployment
51.3061516040128,36,Main,unemployment
51.0201885879917,37,Main,unemployment
50.7602017056831,38,Main,unemployment
50.5241998054545,39,Main,unemployment
50.3103166922659,40,Main,unemployment
10.9558845978847,1,Main,labor_share
10.9206677094185,2,Main,labor_share
9.87293339301538,3,Main,labor_share
8.8377499106256,4,Main,labor_share
8.1034890410946,5,Main,labor_share
8.31410926991587,6,Main,labor_share
9.6567631796735,7,Main,labor_share
12.0169947720504,8,Main,labor_share
15.0436954627235,9,Main,labor_share
18.304110730712,10,Main,labor_share
21.401079965799,11,Main,labor_share
24.0526043317202,12,Main,labor_share
26.114441568118,13,Main,labor_share
27.5624025351155,14,Main,labor_share
28.4546040003551,15,Main,labor_share
28.8922987088928,16,Main,labor_share
28.9892345087027,17,Main,labor_share
28.8521503847322,18,Main,labor_share
28.5708197551954,19,Main,labor_share
28.2147144097557,20,Main,labor_share
27.8335898208812,21,Main,labor_share
27.4600476203474,22,Main,labor_share
27.1128662687027,23,Main,labor_share
26.8004214990148,24,Main,labor_share
26.5238419748266,25,Main,labor_share
26.2797229362189,26,Main,labor_share
26.0623153180548,27,Main,labor_share
25.8651656958389,28,Main,labor_share
25.682227473623,29,Main,labor_share
25.5085027174548,30,Main,labor_share
25.3403040630114,31,Main,labor_share
25.1752421373429,32,Main,labor_share
25.0120437065627,33,Main,labor_share
24.8502914657529,34,Main,labor_share
24.6901534284734,35,Main,labor_share
24.532144546544,36,Main,labor_share
24.3769406315671,37,Main,labor_share
24.2252478134291,38,Main,labor_share
24.0777204381998,39,Main,labor_share
23.9349156998584,40,Main,labor_share
6.50709411334054,1,Main,interest
3.05638282004253,2,Main,interest
2.22750346537026,3,Main,interest
2.43380719885055,4,Main,interest
3.07318527292252,5,Main,interest
3.84891706144649,6,Main,interest
4.59307913058789,7,Main,interest
5.20562178807279,8,Main,interest
5.632769745358,9,Main,interest
5.86481613896467,10,Main,interest
5.92697889150752,11,Main,interest
5.86651281290027,12,Main,interest
5.73832275896044,13,Main,interest
5.59265948584577,14,Main,interest
5.46745051415177,15,Main,interest
5.38557245539709,16,Main,interest
5.35586378969228,17,Main,interest
5.37622388780322,18,Main,interest
5.43739987789682,19,Main,interest
5.52655276205601,20,Main,interest
5.63013411749019,21,Main,interest
5.735909557344,22,Main,interest
5.83414966353667,23,Main,interest
5.91811124967541,24,Main,interest
5.98398069376345,25,Main,interest
6.03046352540926,26,Main,interest
6.05819069713203,27,Main,interest
6.06908064419184,28,Main,interest
6.06575602940835,29,Main,interest
6.05107305980185,30,Main,interest
6.02778565575331,31,Main,interest
5.99834012507042,32,Main,interest
5.96477934148382,33,Main,interest
5.928727802015,34,Main,interest
5.89142828059004,35,Main,interest
5.85380468337897,36,Main,interest
5.81653189065775,37,Main,interest
5.78010005470364,38,Main,interest
5.74486680496317,39,Main,interest
5.71109543700296,40,Main,interest
1.4881372958266,1,Main,inflation
1.07750613787106,2,Main,inflation
0.915763200680721,3,Main,inflation
0.820815240334333,4,Main,inflation
0.758206399538969,5,Main,inflation
0.711626595004315,6,Main,inflation
0.6731567984503,7,Main,inflation
0.639478279563144,8,Main,inflation
0.608774906879587,9,Main,inflation
0.580320697244913,10,Main,inflation
0.554084452340429,11,Main,inflation
0.530531026203757,12,Main,inflation
0.510354025973396,13,Main,inflation
0.494163837407393,14,Main,inflation
0.482225471383866,15,Main,inflation
0.474327293812695,16,Main,inflation
0.46979905686452,17,Main,inflation
0.467647546696529,18,Main,inflation
0.466753436849656,19,Main,inflation
0.466072607849888,20,Main,inflation
0.464798671201701,21,Main,inflation
0.462462068397285,22,Main,inflation
0.458959017518215,23,Main,inflation
0.454517718545629,24,Main,inflation
0.449618395318923,25,Main,inflation
0.444887890072363,26,Main,inflation
0.440989306885053,27,Main,inflation
0.438523746965259,28,Main,inflation
0.437955826810472,29,Main,inflation
0.439568730733238,30,Main,inflation
