fevd,h,impulse,response
41.5280219120943,1,Main,output
55.249730492425,2,Main,output
53.0247670149664,3,Main,output
46.8385296529347,4,Main,output
39.688985565853,5,Main,output
33.0874452459902,6,Main,output
27.745129222711,7,Main,output
23.7957404578006,8,Main,output
21.0611454511869,9,Main,output
19.2530857783834,10,Main,output
18.0870835388866,11,Main,output
17.3299682571386,12,Main,output
16.8096115467402,13,Main,output
16.4088340854811,14,Main,output
16.0545968328985,15,Main,output
15.7070405048416,16,Main,output
15.3498145351081,17,Main,output
14.9819474388687,18,Main,output
14.6112227890021,19,Main,output
14.2490180518814,20,Main,output
13.9065827965877,21,Main,output
13.5926928928022,22,Main,output
13.3125290177418,23,Main,output
13.0675342606853,24,Main,output
12.855946964804,25,Main,output
12.6736997299309,26,Main,output
12.5154191273342,27,Main,output
12.3753341136283,28,Main,output
12.2479821086988,29,Main,output
12.1286728332477,30,Main,output
12.0137219496023,31,Main,output
11.9004973363242,32,Main,output
11.7873333197086,33,Main,output
11.6733674450108,34,Main,output
11.5583457026541,35,Main,output
11.4424299879593,36,Main,output
11.326029166085,37,Main,output
11.2096643849432,38,Main,output
11.0938711408653,39,Main,output
10.9791352183159,40,Main,output
31.5404009757602,1,Main,investment
52.2646663631502,2,Main,investment
52.7401742674687,3,Main,investment
46.5421107446166,4,Main,investment
38.9289292739306,5,Main,investment
32.1464045111133,6,Main,investment
27.1644541757039,7,Main,investment
24.0521180125694,8,Main,investment
22.4271453081201,9,Main,investment
21.7978659966803,10,Main,investment
21.7387683032016,11,Main,investment
21.9414308912187,12,Main,investment
22.2070619972195,13,Main,investment
22.4223035901075,14,Main,investment
22.5351192478592,15,Main,investment
22.5349770431595,16,Main,investment
22.4371884813404,17,Main,investment
22.2705356665587,18,Main,investment
22.0677068479004,19,Main,investment
21.8584480123747,20,Main,investment
21.6654101737692,21,Main,investment
21.5024778403837,22,Main,investment
21.3750902299632,23,Main,investment
21.2818796863243,24,Main,investment
21.2169253406399,25,Main,investment
21.1720363369865,26,Main,investment
21.1386714263941,27,Main,investment
21.1093016766682,28,Main,investment
21.0781853123152,29,Main,investment
21.0416308503251,30,Main,investment
20.9978790163284,31,Main,investment
20.9467472243605,32,Main,investment
20.8891666549435,33,Main,investment
20.8267135604087,34,Main,investment
20.7612029202398,35,Main,investment
20.6943806189522,36,Main,investment
20.6277240000414,37,Main,investment
20.5623418679491,38,Main,investment
20.4989539620941,39,Main,investment
20.4379256092508,40,Main,investment
25.911416532391,1,Main,consumption
28.6430201400931,2,Main,consumption
27.9389600113185,3,Main,consumption
25.7817968150054,4,Main,consumption
22.9170819223096,5,Main,consumption
19.9187143105995,6,Main,consumption
17.1434468312798,7,Main,consumption
14.759892470477,8,Main,consumption
