h,impulse,response,irf
1,Main,output,-0.361249362539557
1,Main,investment,-1.19382688400615
1,Main,consumption,-0.175120471735461
1,Main,hours_worked,-0.182133783066282
1,Main,unemployment,0.139297119433033
1,Main,labor_share,0.255464892940811
1,Main,interest,0.048001556123958
1,Main,inflation,0.0264803289737829
1,Main,productivity,-0.186250077665177
1,Main,TFP,-0.101628422954319
1,Main,vfci,0.111143793462813
2,Main,output,-0.489524300788262
2,Main,investment,-1.73655307966368
2,Main,consumption,-0.29899762530578
2,Main,hours_worked,-0.365929750435165
2,Main,unemployment,0.229118373581912
2,Main,labor_share,0.126658951287538
2,Main,interest,0.015792705039124
2,Main,inflation,-0.0012445079876488
2,Main,productivity,-0.139400284020295
2,Main,TFP,0.0126306138779758
2,Main,vfci,0.0760705344191664
3,Main,output,-0.605473446033649
3,Main,investment,-2.23149003178609
3,Main,consumption,-0.349186766223843
3,Main,hours_worked,-0.491794150034724
3,Main,unemployment,0.303306560157352
3,Main,labor_share,0.0956241672711894
3,Main,interest,-0.0151605023825353
3,Main,inflation,-0.00201162872608954
3,Main,productivity,-0.100787784176801
3,Main,TFP,0.0596399308990008
3,Main,vfci,0.03092499587387
4,Main,output,-0.64033892086556
4,Main,investment,-2.34297246028336
4,Main,consumption,-0.373116147775308
4,Main,hours_worked,-0.552545061019028
4,Main,unemployment,0.344282240176185
4,Main,labor_share,0.033874972566633
4,Main,interest,-0.0330842231718169
4,Main,inflation,-0.000796562160465788
4,Main,productivity,-0.0327152833436644
4,Main,TFP,0.0752855400379707
4,Main,vfci,0.00270851461456472
5,Main,output,-0.637848154535854
5,Main,investment,-2.24506750184639
5,Main,consumption,-0.385999707572308
5,Main,hours_worked,-0.562354261456182
5,Main,unemployment,0.360531722797985
5,Main,labor_share,-0.0361646482505362
5,Main,interest,-0.043217575236465
5,Main,inflation,-0.000751948502267725
5,Main,productivity,0.0195775226691439
5,Main,TFP,0.0591028707124244
5,Main,vfci,-0.0160642832674017
6,Main,output,-0.61348009652947
6,Main,investment,-2.03703642146811
6,Main,consumption,-0.391146262919584
6,Main,hours_worked,-0.539203381308303
6,Main,unemployment,0.358272384109479
6,Main,labor_share,-0.102774666558531
6,Main,interest,-0.0475572877446166
6,Main,inflation,-0.0004496313559132
6,Main,productivity,0.0553063275693981
6,Main,TFP,0.0305744086826131
6,Main,vfci,-0.0271757008927936
7,Main,output,-0.575846940313334
7,Main,investment,-1.77337102393642
7,Main,consumption,-0.390640898904219
7,Main,hours_worked,-0.496449031463827
7,Main,unemployment,0.343176294062805
7,Main,labor_share,-0.160791788485748
7,Main,interest,-0.0476440449800027
7,Main,inflation,-0.000347444041637765
7,Main,productivity,0.075478768463326
7,Main,TFP,-0.00277813804265323
7,Main,vfci,-0.0329030043962026
8,Main,output,-0.531123982352351
8,Main,investment,-1.49262305246508
8,Main,consumption,-0.385634613337957
8,Main,hours_worked,-0.44239130796401
8,Main,unemployment,0.319430268089191
8,Main,labor_share,-0.207585163251614
8,Main,interest,-0.044561329598649
8,Main,inflation,-0.000350815751683771
8,Main,productivity,0.0826344173858059
8,Main,TFP,-0.0354016393211604
8,Main,vfci,-0.0350888688347252
9,Main,output,-0.483320176993594
9,Main,investment,-1.21725817608393
9,Main,consumption,-0.377202888090601
9,Main,hours_worked,-0.383167112242813
9,Main,unemployment,0.290193763528322
9,Main,labor_share,-0.241909638127194
9,Main,interest,-0.0391320885633808
9,Main,inflation,-0.00028327202404884
9,Main,productivity,0.0792708294313112
9,Main,TFP,-0.0647704621848767
9,Main,vfci,-0.0348957066999761
10,Main,output,-0.435364462174632
10,Main,investment,-0.961267134891495
10,Main,consumption,-0.366373586802683
10,Main,hours_worked,-0.322895148525399
10,Main,unemployment,0.257935576753548
10,Main,labor_share,-0.263964510711129
10,Main,interest,-0.0321590820351418
10,Main,inflation,-4.29354013547192e-05
10,Main,productivity,0.0675438628166768
10,Main,TFP,-0.0899799502957557
10,Main,vfci,-0.0331839925778434
11,Main,output,-0.389467389790124
11,Main,investment,-0.733172083001581
11,Main,consumption,-0.354058550988751
11,Main,hours_worked,-0.264539131949256
11,Main,unemployment,0.224592532122004
11,Main,labor_share,-0.274595357331942
11,Main,interest,-0.0243234757203858
11,Main,inflation,0.000383171654592454
11,Main,productivity,0.049324431885111
11,Main,TFP,-0.110924713160462
11,Main,vfci,-0.0305273072116403
12,Main,output,-0.347215223277497
12,Main,investment,-0.537518944840689
12,Main,consumption,-0.341072637686165
12,Main,hours_worked,-0.210149960619302
12,Main,unemployment,0.191680305487639
12,Main,labor_share,-0.27517243968367
12,Main,interest,-0.0161894609735929
12,Main,inflation,0.000969255839839476
12,Main,productivity,0.0262619570649913
12,Main,TFP,-0.127868979983638
12,Main,vfci,-0.0273208623440446
13,Main,output,-0.309709590868475
13,Main,investment,-0.376122872937951
13,Main,consumption,-0.328119295025884
13,Main,hours_worked,-0.161103899792954
13,Main,unemployment,0.160358121332914
13,Main,labor_share,-0.267307306075977
13,Main,interest,-0.00821431489745221
13,Main,inflation,0.00165503794977343
13,Main,productivity,-0.000193517698416196
13,Main,TFP,-0.141255088074899
13,Main,vfci,-0.0238464888534043
14,Main,output,-0.27761519677472
14,Main,investment,-0.248763276304781
14,Main,consumption,-0.315772368744629
14,Main,hours_worked,-0.118233157279569
14,Main,unemployment,0.131474748005878
14,Main,labor_share,-0.252714711886996
14,Main,interest,-0.000751586236516683
14,Main,inflation,0.00236801791610279
14,Main,productivity,-0.0287480949819912
14,Main,TFP,-0.151562681445636
14,Main,vfci,-0.0203145845406142
15,Main,output,-0.25121993478822
15,Main,investment,-0.153709773521719
15,Main,consumption,-0.30446749178411
15,Main,hours_worked,-0.0819265869056207
15,Main,unemployment,0.105603857945384
15,Main,labor_share,-0.233088690741736
15,Main,interest,0.00594086312012066
15,Main,inflation,0.00303627490512071
15,Main,productivity,-0.0582578430559142
15,Main,TFP,-0.159262841086692
15,Main,vfci,-0.0168855512155191
16,Main,output,-0.230490452650209
16,Main,investment,-0.0881269636460675
16,Main,consumption,-0.29450182385071
16,Main,hours_worked,-0.0522078472091846
16,Main,unemployment,0.0830768095423497
16,Main,labor_share,-0.210020637619189
16,Main,interest,0.0116917785634867
16,Main,inflation,0.00359769484866247
16,Main,productivity,-0.0877296816446822
16,Main,TFP,-0.164794350315289
16,Main,vfci,-0.0136808862359611
17,Main,output,-0.21513272775951
17,Main,investment,-0.0484208828136081
17,Main,consumption,-0.286042147234742
17,Main,hours_worked,-0.0288074993581817
17,Main,unemployment,0.0640160837426275
17,Main,labor_share,-0.184942051645854
17,Main,interest,0.0164061370951576
17,Main,inflation,0.00400494801482665
17,Main,productivity,-0.116327756319587
17,Main,TFP,-0.168557122462325
17,Main,vfci,-0.0107885368253448
18,Main,output,-0.204653718835219
18,Main,investment,-0.0305427352423917
18,Main,consumption,-0.279139296614033
18,Main,hours_worked,-0.0112310195442724
18,Main,unemployment,0.0483702554408332
18,Main,labor_share,-0.159089627463432
18,Main,interest,0.0200539903161162
18,Main,inflation,0.00422748876060635
18,Main,productivity,-0.143377764620668
18,Main,TFP,-0.170909696569968
18,Main,vfci,-0.00826620457573
19,Main,output,-0.198421868836114
19,Main,investment,-0.0302551792927867
19,Main,consumption,-0.273746794974007
19,Main,hours_worked,0.00117619433234139
19,Main,unemployment,0.035949819033734
19,Main,labor_share,-0.133487841942338
19,Main,interest,0.0226589443224112
19,Main,inflation,0.00425132750376421
19,Main,productivity,-0.168366527427235
19,Main,TFP,-0.172168317690616
19,Main,vfci,-0.00614429248791121
20,Main,output,-0.195723421604778
20,Main,investment,-0.0433590524077412
20,Main,consumption,-0.269741612920275
20,Main,hours_worked,0.00916843587208704
20,Main,unemployment,0.026462586799445
20,Main,labor_share,-0.108945677217112
20,Main,interest,0.0242866991619453
20,Main,inflation,0.00407737753934992
20,Main,productivity,-0.190935656536353
20,Main,TFP,-0.172606183582692
20,Main,vfci,-0.00442926924838608
21,Main,output,-0.195812383504791
21,Main,investment,-0.0658778673004138
21,Main,consumption,-0.266945294981846
21,Main,hours_worked,0.0135455982631158
21,Main,unemployment,0.0195472306418799
21,Main,labor_share,-0.0860642755900523
21,Main,interest,0.0250340319122338
21,Main,inflation,0.00371896404304665
21,Main,productivity,-0.210869719393526
21,Main,TFP,-0.172453118454789
21,Main,vfci,-0.00310756711072809
22,Main,output,-0.19795264221429
22,Main,investment,-0.0941986125972022
22,Main,consumption,-0.265144076176996
22,Main,hours_worked,0.0151068930543586
22,Main,unemployment,0.0148037276580088
22,Main,labor_share,-0.0652527210684964
22,Main,interest,0.0250185603618228
22,Main,inflation,0.00319895131402064
22,Main,productivity,-0.228080036264579
22,Main,TFP,-0.171896043331268
22,Main,vfci,-0.00214984642930656
23,Main,output,-0.201451538414737
23,Main,investment,-0.125169612409092
23,Main,consumption,-0.264107006620288
23,Main,hours_worked,0.0146132937544123
23,Main,unemployment,0.0118197915488045
23,Main,labor_share,-0.0467494360377223
23,Main,interest,0.0243695564865477
23,Main,inflation,0.00254681320642584
23,Main,productivity,-0.242585573155725
23,Main,TFP,-0.171080573436015
23,Main,vfci,-0.00151534948206068
24,Main,output,-0.205684820091657
24,Main,investment,-0.156158297108359
24,Main,consumption,-0.263601459150154
24,Main,hours_worked,0.0127590048738872
24,Main,unemployment,0.0101927397641514
24,Main,labor_share,-0.030646999334577
24,Main,interest,0.0232200021717879
24,Main,inflation,0.0017958700450666
24,Main,productivity,-0.254492404458007
24,Main,TFP,-0.170113835122536
24,Main,vfci,-0.00115607151367608
25,Main,output,-0.210113412832135
25,Main,investment,-0.185073411992341
25,Main,consumption,-0.26340569945662
25,Main,hours_worked,0.0101516948375806
25,Main,unemployment,0.00954659214322576
25,Main,labor_share,-0.0169185158923966
25,Main,interest,0.0216999994630337
25,Main,inflation,0.000980834602216656
25,Main,productivity,-0.263973057969959
25,Main,TFP,-0.169068392038401
25,Main,vfci,-0.00102053170531104
26,Main,output,-0.21429279505118
26,Main,investment,-0.210357276126142
26,Main,consumption,-0.263318442870488
26,Main,hours_worked,0.00730079489493706
26,Main,unemployment,0.00954449053224619
26,Main,labor_share,-0.00544399556335724
26,Main,interest,0.0199315714978604
26,Main,inflation,0.000135748106667852
26,Main,productivity,-0.271246807668128
26,Main,TFP,-0.167987022582373
26,Main,vfci,-0.00105699857140886
27,Main,output,-0.217875993503459
27,Main,investment,-0.230954226249904
27,Main,consumption,-0.263165508710845
27,Main,hours_worked,0.0046128642447287
27,Main,unemployment,0.00989675668453225
27,Main,labor_share,0.00396447761641881
27,Main,interest,0.0180248228951213
27,Main,inflation,-0.000707658953732665
27,Main,productivity,-0.27656170658968
27,Main,TFP,-0.166888017716099
27,Main,vfci,-0.00121609356751085
28,Main,output,-0.220611330967577
28,Main,investment,-0.246261423777683
28,Main,consumption,-0.26280381692734
28,Main,hours_worked,0.00239284689799537
28,Main,unemployment,0.010365066743509
28,Main,labor_share,0.0115396958885809
28,Main,interest,0.0160753730381241
28,Main,inflation,-0.00152118041639506
28,Main,productivity,-0.280178889242085
28,Main,TFP,-0.165770655720599
28,Main,vfci,-0.00145275483510297
29,Main,output,-0.222336086737727
29,Main,investment,-0.256067877761385
29,Main,consumption,-0.262123059693123
29,Main,hours_worked,0.000849978648793121
29,Main,unemployment,0.0107633201654067
29,Main,labor_share,0.0175390228515364
29,Main,interest,0.0141629338562985
29,Main,inflation,-0.00228094571149481
29,Main,productivity,-0.282359439292627
29,Main,TFP,-0.164620541539081
29,Main,vfci,-0.00172758719159913
30,Main,output,-0.222967192220338
30,Main,investment,-0.260486953578854
30,Main,consumption,-0.261045430017438
30,Main,hours_worked,0.000107120254629745
30,Main,unemployment,0.010955827808779
30,Main,labor_share,0.0222272034999884
30,Main,interest,0.0123508754972375
30,Main,inflation,-0.00296786843389427
30,Main,productivity,-0.283353922726678
30,Main,TFP,-0.163414555054141
30,Main,vfci,-0.00200765507685691
31,Main,output,-0.222489997047074
31,Main,investment,-0.259886894146522
31,Main,consumption,-0.259523807632803
31,Main,hours_worked,0.000212373220565724
31,Main,unemployment,0.0108534479911868
31,Main,labor_share,0.0258624403940722
31,Main,interest,0.0106866077876486
31,Main,inflation,-0.00356778193712877
31,Main,productivity,-0.283394531346267
31,Main,TFP,-0.16212522059817
31,Main,vfci,-0.00226679401265343
32,Main,output,-0.220946021681343
32,Main,investment,-0.25482305897583
32,Main,consumption,-0.25753879615688
32,Main,hours_worked,0.00115195743240251
32,Main,unemployment,0.010408270437148
32,Main,labor_share,0.0286857059016714
32,Main,interest,0.00920260104541514
32,Main,inflation,-0.00407131681827387
32,Main,productivity,-0.282689664876228
32,Main,TFP,-0.160724378744624
32,Main,vfci,-0.0024855254912764
33,Main,output,-0.218420473935019
33,Main,investment,-0.245974750265384
33,Main,consumption,-0.255094980973309
33,Main,hours_worked,0.00286347833812044
33,Main,unemployment,0.00960739534072115
33,Main,labor_share,0.0309131175873138
33,Main,interest,0.00791787469878596
33,Main,inflation,-0.00447357642034502
33,Main,productivity,-0.281420698489397
